distance,purse,track,age,odds,pp_start,j_starts,j_first,j_second,j_third,j_total_win_amt,j_win_perc,j_top_3,j_top_3_perc,t_starts,t_first,t_second,t_third,t_total_win_amt,t_win_perc,t_top_3,winloss
800.0,42000.0,0,3,7.9,6,52,8,3,9,311237,0.15,20,0.38,6,0,0,3,13275,0.0,0.5,1
800.0,42000.0,0,3,3.1,8,40,2,7,9,346967,0.05,18,0.45,17,1,0,5,58935,0.06,0.35,0
600.0,30000.0,1,5,16.2,7,63,9,6,5,314435,0.14,20,0.32,51,9,9,5,435875,0.18,0.45,0
600.0,30000.0,1,6,2.7,4,37,6,4,2,150700,0.16,12,0.32,12,0,1,2,26080,0.0,0.25,0
600.0,30000.0,1,9,6.8,9,51,4,7,7,312568,0.08,18,0.35,39,5,5,5,286355,0.13,0.38,0
600.0,30000.0,1,7,7.4,2,40,2,7,9,346967,0.05,18,0.45,17,1,0,5,58935,0.06,0.35,0
600.0,30000.0,1,5,6.4,3,39,2,7,2,134480,0.05,11,0.28,5,0,1,0,11490,0.0,0.2,1
600.0,30000.0,1,5,5.2,6,32,0,4,3,69250,0.0,7,0.22,12,0,1,2,26080,0.0,0.25,0
600.0,30000.0,1,7,4.3,5,35,4,3,2,137660,0.11,9,0.26,39,10,8,1,555914,0.26,0.49,1
600.0,30000.0,1,4,14.3,1,9,1,1,2,34975,0.11,4,0.44,8,1,1,2,40252,0.13,0.5,1
600.0,30000.0,1,4,14.2,8,45,2,5,3,252680,0.04,10,0.22,17,2,2,3,122669,0.12,0.41,0
500.0,60000.0,1,2,23.3,1,32,0,4,3,69250,0.0,7,0.22,5,0,2,1,23065,0.0,0.6,1
500.0,60000.0,1,2,16.4,5,40,4,4,4,237110,0.1,12,0.3,7,0,2,0,25725,0.0,0.29,0
500.0,60000.0,1,2,6.3,4,40,4,3,6,217807,0.1,13,0.33,17,3,1,1,193260,0.18,0.29,0
500.0,60000.0,1,2,14.6,6,59,7,8,8,562909,0.12,23,0.39,6,1,0,0,38925,0.17,0.17,0
500.0,60000.0,1,2,18.4,9,51,4,7,7,312568,0.08,18,0.35,10,0,0,2,16002,0.0,0.2,0
500.0,60000.0,1,2,4.4,8,28,3,1,1,66200,0.11,5,0.18,11,1,2,1,56940,0.09,0.36,0
500.0,60000.0,1,2,38.8,2,16,0,0,1,30265,0.0,1,0.06,7,0,0,0,3325,0.0,0.0,0
500.0,60000.0,1,2,1.7,3,35,7,7,4,374120,0.2,18,0.51,51,9,9,5,435875,0.18,0.45,1
500.0,60000.0,1,2,2.8,7,52,13,8,4,816020,0.25,25,0.48,39,5,5,5,286355,0.13,0.38,1
850.0,65000.0,0,4,9.0,7,31,2,5,5,270490,0.06,12,0.39,14,1,2,3,85955,0.07,0.43,1
850.0,65000.0,0,4,2.6,8,40,2,7,9,346967,0.05,18,0.45,44,13,5,2,616845,0.3,0.45,0
850.0,65000.0,0,4,11.0,5,51,4,7,7,312568,0.08,18,0.35,2,0,0,1,4425,0.0,0.5,0
850.0,65000.0,0,5,13.2,6,59,7,8,8,562909,0.12,23,0.39,24,2,4,4,179100,0.08,0.42,0
850.0,65000.0,0,7,16.7,9,28,3,1,1,66200,0.11,5,0.18,5,2,0,1,28890,0.4,0.6,0
850.0,65000.0,0,6,35.6,11,45,2,5,3,252680,0.04,10,0.22,18,2,2,0,105130,0.11,0.22,0
850.0,65000.0,0,6,8.4,4,42,10,3,5,683730,0.24,18,0.43,3,0,0,1,4045,0.0,0.33,0
850.0,65000.0,0,4,2.7,10,52,13,8,4,816020,0.25,25,0.48,7,1,2,1,83195,0.14,0.57,1
850.0,65000.0,0,4,18.3,1,40,4,3,6,217807,0.1,13,0.33,42,6,5,5,524088,0.14,0.38,0
850.0,65000.0,0,4,31.0,12,35,4,3,2,137660,0.11,9,0.26,18,2,2,0,105130,0.11,0.22,0
850.0,65000.0,0,4,9.0,3,35,7,7,4,374120,0.2,18,0.51,51,9,9,5,435875,0.18,0.45,1
850.0,65000.0,0,5,49.9,2,39,2,7,2,134480,0.05,11,0.28,17,1,1,1,41315,0.06,0.18,0
800.0,62000.0,1,3,1.3,3,13,4,2,0,349280,0.31,6,0.46,39,10,8,1,555914,0.26,0.49,1
800.0,62000.0,1,4,22.3,1,40,4,4,4,237110,0.1,12,0.3,10,0,0,0,9682,0.0,0.0,0
